subsystem,reaction
Exchange/demand reaction,EX_leutrp[e]
Exchange/demand reaction,EX_leutrparg[e]
Exchange/demand reaction,EX_leutyrtyr[e]
Exchange/demand reaction,EX_leuval[e]
Exchange/demand reaction,EX_lysargleu[e]
Exchange/demand reaction,EX_lyscyshis[e]
Exchange/demand reaction,EX_lysglnphe[e]
Exchange/demand reaction,EX_lysgluglu[e]
Exchange/demand reaction,EX_lyslyslys[e]
Exchange/demand reaction,EX_lyspheile[e]
Exchange/demand reaction,EX_lystrparg[e]
Exchange/demand reaction,EX_lystyrile[e]
Exchange/demand reaction,EX_lysvalphe[e]
Exchange/demand reaction,EX_lysvaltrp[e]
Exchange/demand reaction,EX_metargleu[e]
Exchange/demand reaction,EX_metasntyr[e]
Exchange/demand reaction,EX_metglntyr[e]
Exchange/demand reaction,EX_metglyarg[e]
Exchange/demand reaction,EX_methislys[e]
Exchange/demand reaction,EX_metmetile[e]
Exchange/demand reaction,EX_metphearg[e]
Exchange/demand reaction,EX_mettrpphe[e]
Exchange/demand reaction,EX_pheasnmet[e]
Exchange/demand reaction,EX_pheasp[e]
Exchange/demand reaction,EX_pheglnphe[e]
Exchange/demand reaction,EX_pheleu[e]
Exchange/demand reaction,EX_pheleuasp[e]
Exchange/demand reaction,EX_pheleuhis[e]
Exchange/demand reaction,EX_phelysala[e]
Exchange/demand reaction,EX_phelyspro[e]
Exchange/demand reaction,EX_phephe[e]
Exchange/demand reaction,EX_phepheasn[e]
Exchange/demand reaction,EX_phephethr[e]
Exchange/demand reaction,EX_pheproarg[e]
Exchange/demand reaction,EX_phesertrp[e]
Exchange/demand reaction,EX_phethrlys[e]
Exchange/demand reaction,EX_phetrpleu[e]
Exchange/demand reaction,EX_phetyr[e]
Exchange/demand reaction,EX_phetyrgln[e]
Exchange/demand reaction,EX_phetyrlys[e]
Exchange/demand reaction,EX_proargasp[e]
Exchange/demand reaction,EX_proargcys[e]
Exchange/demand reaction,EX_proasncys[e]
Exchange/demand reaction,EX_procys[e]
Exchange/demand reaction,EX_proglnpro[e]
Exchange/demand reaction,EX_proglulys[e]
Exchange/demand reaction,EX_prohis[e]
Exchange/demand reaction,EX_prohistyr[e]
Exchange/demand reaction,EX_proleuarg[e]
Exchange/demand reaction,EX_prolyspro[e]
Exchange/demand reaction,EX_prophe[e]
Exchange/demand reaction,EX_proproarg[e]
Exchange/demand reaction,EX_propropro[e]
Exchange/demand reaction,EX_protrplys[e]
Exchange/demand reaction,EX_protrpthr[e]
Exchange/demand reaction,EX_provalgln[e]
Exchange/demand reaction,EX_serargala[e]
Exchange/demand reaction,EX_serargtrp[e]
Exchange/demand reaction,EX_sercysarg[e]
Exchange/demand reaction,EX_serglyglu[e]
Exchange/demand reaction,EX_serlyshis[e]
Exchange/demand reaction,EX_serphelys[e]
Exchange/demand reaction,EX_sertrphis[e]
Exchange/demand reaction,EX_thrargtyr[e]
Exchange/demand reaction,EX_thrasntyr[e]
Exchange/demand reaction,EX_thrglnglu[e]
Exchange/demand reaction,EX_thrglntyr[e]
Exchange/demand reaction,EX_thrhishis[e]
Exchange/demand reaction,EX_thrilearg[e]
Exchange/demand reaction,EX_thrmetarg[e]
Exchange/demand reaction,EX_thrphearg[e]
Exchange/demand reaction,EX_thrserarg[e]
Exchange/demand reaction,EX_thrthrarg[e]
Exchange/demand reaction,EX_thrtyrmet[e]
Exchange/demand reaction,EX_trpalapro[e]
Exchange/demand reaction,EX_trpargala[e]
Exchange/demand reaction,EX_trpaspasp[e]
Exchange/demand reaction,EX_trpglngln[e]
Exchange/demand reaction,EX_trpglugly[e]
Exchange/demand reaction,EX_trpgluleu[e]
Exchange/demand reaction,EX_trpglupro[e]
Exchange/demand reaction,EX_trpglutyr[e]
Exchange/demand reaction,EX_trpglyleu[e]
Exchange/demand reaction,EX_trpglyphe[e]
Exchange/demand reaction,EX_trpglyval[e]
Exchange/demand reaction,EX_trphismet[e]
Exchange/demand reaction,EX_trpilelys[e]
Exchange/demand reaction,EX_trpiletrp[e]
Exchange/demand reaction,EX_trpleuval[e]
Exchange/demand reaction,EX_trplys[e]
Exchange/demand reaction,EX_trpmetarg[e]
Exchange/demand reaction,EX_trpmetval[e]
Exchange/demand reaction,EX_trpphe[e]
Exchange/demand reaction,EX_trpprogly[e]
Exchange/demand reaction,EX_trpproleu[e]
Exchange/demand reaction,EX_trpproval[e]
Exchange/demand reaction,EX_trpsertyr[e]
Exchange/demand reaction,EX_trpthrglu[e]
Exchange/demand reaction,EX_trpthrile[e]
Exchange/demand reaction,EX_trpthrtyr[e]
Exchange/demand reaction,EX_trptyrgln[e]
Exchange/demand reaction,EX_trptyrtyr[e]
Exchange/demand reaction,EX_trpvalasp[e]
Exchange/demand reaction,EX_tyrala[e]
Exchange/demand reaction,EX_tyralaphe[e]
Exchange/demand reaction,EX_tyrargglu[e]
Exchange/demand reaction,EX_tyrargser[e]
Exchange/demand reaction,EX_tyrasparg[e]
Exchange/demand reaction,EX_tyrcysgly[e]
Exchange/demand reaction,EX_tyrcysthr[e]
Exchange/demand reaction,EX_tyrglu[e]
Exchange/demand reaction,EX_tyrleuarg[e]
Exchange/demand reaction,EX_tyrphetyr[e]
Exchange/demand reaction,EX_tyrthr[e]
Exchange/demand reaction,EX_tyrtrpphe[e]
Exchange/demand reaction,EX_tyrtyr[e]
Exchange/demand reaction,EX_tyrvalmet[e]
Exchange/demand reaction,EX_valarggly[e]
Exchange/demand reaction,EX_valhisasn[e]
Exchange/demand reaction,EX_valleuphe[e]
Exchange/demand reaction,EX_vallystyr[e]
Exchange/demand reaction,EX_valphearg[e]
Exchange/demand reaction,EX_valprotrp[e]
Exchange/demand reaction,EX_valserarg[e]
Exchange/demand reaction,EX_valtrpphe[e]
Exchange/demand reaction,EX_valtrpval[e]
Exchange/demand reaction,EX_valval[e]
Exchange/demand reaction,EX_trpglyasp[e]
Exchange/demand reaction,EX_homoval[e]
Exchange/demand reaction,EX_sphmyln_hs[e]
Exchange/demand reaction,EX_hxa[e]
Exchange/demand reaction,EX_Lhcystin[e]
Exchange/demand reaction,DM_pe_hs[c]
Exchange/demand reaction,DM_adprbp[c]
Exchange/demand reaction,DM_akg[c]
Exchange/demand reaction,DM_bandmt[c]
Exchange/demand reaction,DM_for[c]
Exchange/demand reaction,DM_mi1345p[c]
Exchange/demand reaction,DM_mi134p[c]
Exchange/demand reaction,DM_mi145p[c]
Exchange/demand reaction,DM_mi14p[c]
Exchange/demand reaction,DM_pchol_hs[c]
Exchange/demand reaction,sink_band[c]
Exchange/demand reaction,EX_core4[e]
Exchange/demand reaction,EX_core5[e]
Exchange/demand reaction,EX_core7[e]
Exchange/demand reaction,EX_core8[e]
Exchange/demand reaction,EX_dsT_antigen[e]
Exchange/demand reaction,EX_f1a[e]
Exchange/demand reaction,EX_galam[e]
Exchange/demand reaction,EX_gncore1[e]
Exchange/demand reaction,EX_gncore2[e]
Exchange/demand reaction,EX_mqn10[e]
Exchange/demand reaction,EX_mqn11[e]
Exchange/demand reaction,EX_mqn7[e]
Exchange/demand reaction,EX_mqn9[e]
Exchange/demand reaction,EX_s2l2n2m2m[e]
Exchange/demand reaction,EX_sTn_antigen[e]
Exchange/demand reaction,EX_lpam[e]
Exchange/demand reaction,EX_acgal[e]
Exchange/demand reaction,EX_acnam[e]
Exchange/demand reaction,EX_pcreat[e]
Exchange/demand reaction,EX_HC00342[e]
Exchange/demand reaction,EX_pa_hs[e]
Exchange/demand reaction,EX_CE2934[e]
Exchange/demand reaction,DM_mqn10[c]
Exchange/demand reaction,DM_mqn11[c]
Exchange/demand reaction,DM_mqn7[c]
Exchange/demand reaction,DM_mqn8[c]
Exchange/demand reaction,DM_mqn9[c]
Exchange/demand reaction,DM_galam[c]
Exchange/demand reaction,DM_C02712[c]
Exchange/demand reaction,sink_11_cis_retfa[c]
Exchange/demand reaction,sink_25hvitd2[c]
Exchange/demand reaction,sink_9_cis_retfa[c]
Exchange/demand reaction,sink_C02528[c]
Exchange/demand reaction,sink_HC02191[c]
Exchange/demand reaction,sink_HC02192[c]
Exchange/demand reaction,sink_HC02193[c]
Exchange/demand reaction,sink_HC02194[c]
Exchange/demand reaction,sink_HC02195[c]
Exchange/demand reaction,sink_HC02196[c]
Exchange/demand reaction,sink_HC02197[c]
Exchange/demand reaction,sink_HC02198[c]
Exchange/demand reaction,sink_HC02220[c]
Exchange/demand reaction,sink_Tyr_ggn[c]
Exchange/demand reaction,sink_avite1[c]
Exchange/demand reaction,sink_btn[c]
Exchange/demand reaction,sink_c226coa[c]
Exchange/demand reaction,sink_chol[c]
Exchange/demand reaction,sink_cholate[c]
Exchange/demand reaction,sink_coa[c]
Exchange/demand reaction,sink_crvnc[c]
Exchange/demand reaction,sink_dgchol[c]
Exchange/demand reaction,sink_doco13ecoa[c]
Exchange/demand reaction,sink_fad[c]
Exchange/demand reaction,sink_fe3[c]
Exchange/demand reaction,sink_gchola[c]
Exchange/demand reaction,sink_glygn2[c]
Exchange/demand reaction,sink_hdca[c]
Exchange/demand reaction,sink_lnlc[c]
Exchange/demand reaction,sink_lnlccoa[c]
Exchange/demand reaction,sink_lnlncacoa[c]
Exchange/demand reaction,sink_lnlncgcoa[c]
Exchange/demand reaction,sink_nad[c]
Exchange/demand reaction,sink_nadp[c]
Exchange/demand reaction,sink_odecoa[c]
Exchange/demand reaction,sink_phyQ[c]
Exchange/demand reaction,sink_pmtcoa[c]
Exchange/demand reaction,sink_pydam[c]
Exchange/demand reaction,sink_pydx[c]
Exchange/demand reaction,sink_pydxn[c]
Exchange/demand reaction,sink_retfa[c]
Exchange/demand reaction,sink_retinol[c]
Exchange/demand reaction,sink_stcoa[c]
Exchange/demand reaction,sink_tag_hs[c]
Exchange/demand reaction,sink_tchola[c]
Exchange/demand reaction,sink_tdchola[c]
Exchange/demand reaction,sink_tdechola[c]
Exchange/demand reaction,sink_thf[c]
Exchange/demand reaction,sink_thmpp[c]
Exchange/demand reaction,sink_thmtp[c]
Exchange/demand reaction,sink_tmndnc[c]
Exchange/demand reaction,sink_tmndnccoa[c]
Exchange/demand reaction,sink_vitd3[c]
Exchange/demand reaction,EX_dxtrn[e]
Exchange/demand reaction,EX_dhcholestanate[e]
Exchange/demand reaction,sink_dhcholestanate[c]
Exchange/demand reaction,EX_thcholstoic[e]
Exchange/demand reaction,sink_thcholstoic[c]
Exchange/demand reaction,EX_xol7ah3[e]
Exchange/demand reaction,sink_xol7ah3[c]
Exchange/demand reaction,EX_xol7aone[e]
Exchange/demand reaction,sink_xol7aone[c]
Exchange/demand reaction,EX_xoldiolone[e]
Exchange/demand reaction,sink_xoldiolone[c]
Exchange/demand reaction,EX_7klitchol[e]
Exchange/demand reaction,sink_7klitchol[c]
Exchange/demand reaction,sink_dchac[c]
Exchange/demand reaction,sink_CE1273[c]
Exchange/demand reaction,EX_2obut[e]
Exchange/demand reaction,EX_glcn[e]
Exchange/demand reaction,DM_atp_c_
Exchange/demand reaction,EX_acac[e]
Exchange/demand reaction,EX_adn[e]
Exchange/demand reaction,EX_akg[e]
Exchange/demand reaction,EX_asn_L[e]
Exchange/demand reaction,EX_asp_L[e]
Exchange/demand reaction,EX_but[e]
Exchange/demand reaction,EX_cgly[e]
Exchange/demand reaction,EX_co2[e]
Exchange/demand reaction,EX_cytd[e]
Exchange/demand reaction,EX_dad_2[e]
Exchange/demand reaction,EX_dcyt[e]
Exchange/demand reaction,EX_dgsn[e]
Exchange/demand reaction,EX_din[e]
Exchange/demand reaction,EX_duri[e]
Exchange/demand reaction,EX_fe2[e]
Exchange/demand reaction,EX_fe3[e]
Exchange/demand reaction,EX_fum[e]
Exchange/demand reaction,EX_gal[e]
Exchange/demand reaction,EX_glu_L[e]
Exchange/demand reaction,EX_glyb[e]
Exchange/demand reaction,EX_glyleu[e]
Exchange/demand reaction,EX_glyphe[e]
Exchange/demand reaction,EX_glypro[e]
Exchange/demand reaction,EX_h[e]
Exchange/demand reaction,EX_h2o[e]
Exchange/demand reaction,EX_ile_L[e]
Exchange/demand reaction,EX_ins[e]
Exchange/demand reaction,EX_k[e]
Exchange/demand reaction,EX_lac_L[e]
Exchange/demand reaction,EX_leu_L[e]
Exchange/demand reaction,EX_lys_L[e]
Exchange/demand reaction,EX_mal_L[e]
Exchange/demand reaction,EX_met_L[e]
Exchange/demand reaction,EX_na1[e]
Exchange/demand reaction,EX_no2[e]
Exchange/demand reaction,EX_o2[e]
Exchange/demand reaction,EX_orn[e]
Exchange/demand reaction,EX_pi[e]
Exchange/demand reaction,EX_ppi[e]
Exchange/demand reaction,EX_pro_L[e]
Exchange/demand reaction,EX_ribflv[e]
Exchange/demand reaction,EX_ser_L[e]
Exchange/demand reaction,EX_so4[e]
Exchange/demand reaction,EX_succ[e]
Exchange/demand reaction,EX_thymd[e]
Exchange/demand reaction,EX_urea[e]
Exchange/demand reaction,EX_uri[e]
Exchange/demand reaction,EX_val_L[e]
Exchange/demand reaction,EX_pnto_R[e]
Exchange/demand reaction,EX_gly[e]
Exchange/demand reaction,EX_cys_L[e]
Exchange/demand reaction,EX_ala_L[e]
Exchange/demand reaction,EX_his_L[e]
Exchange/demand reaction,EX_thr_L[e]
Exchange/demand reaction,EX_gln_L[e]
Exchange/demand reaction,EX_phe_L[e]
Exchange/demand reaction,EX_tyr_L[e]
Exchange/demand reaction,EX_arg_L[e]
Exchange/demand reaction,EX_for[e]
Exchange/demand reaction,EX_nac[e]
Exchange/demand reaction,EX_ind3ac[e]
Exchange/demand reaction,EX_nh4[e]
Exchange/demand reaction,EX_ac[e]
Exchange/demand reaction,EX_acgam[e]
Exchange/demand reaction,EX_cit[e]
Exchange/demand reaction,EX_csn[e]
Exchange/demand reaction,EX_drib[e]
Exchange/demand reaction,EX_etha[e]
Exchange/demand reaction,EX_fol[e]
Exchange/demand reaction,EX_fru[e]
Exchange/demand reaction,EX_galt[e]
Exchange/demand reaction,EX_glcr[e]
Exchange/demand reaction,EX_glcur[e]
Exchange/demand reaction,EX_glyc[e]
Exchange/demand reaction,EX_hxan[e]
Exchange/demand reaction,EX_malt[e]
Exchange/demand reaction,EX_malthx[e]
Exchange/demand reaction,EX_malttr[e]
Exchange/demand reaction,EX_man[e]
Exchange/demand reaction,EX_ptrc[e]
Exchange/demand reaction,EX_rib_D[e]
Exchange/demand reaction,EX_spmd[e]
Exchange/demand reaction,EX_thm[e]
Exchange/demand reaction,EX_trp_L[e]
Exchange/demand reaction,EX_ura[e]
Exchange/demand reaction,EX_xan[e]
Exchange/demand reaction,EX_xyl_D[e]
Exchange/demand reaction,EX_pydxn[e]
Exchange/demand reaction,EX_pydx[e]
Exchange/demand reaction,EX_pydam[e]
Exchange/demand reaction,EX_4hbz[e]
Exchange/demand reaction,EX_34dhpha[e]
Exchange/demand reaction,EX_ppa[e]
Exchange/demand reaction,EX_arab_L[e]
Exchange/demand reaction,EX_gam[e]
Exchange/demand reaction,EX_pyr[e]
Exchange/demand reaction,EX_tre[e]
Exchange/demand reaction,EX_btn[e]
Exchange/demand reaction,EX_lcts[e]
Exchange/demand reaction,EX_ade[e]
Exchange/demand reaction,EX_etoh[e]
Exchange/demand reaction,EX_acald[e]
Exchange/demand reaction,EX_sucr[e]
Exchange/demand reaction,EX_pheme[e]
Exchange/demand reaction,EX_mqn8[e]
Exchange/demand reaction,EX_gua[e]
Exchange/demand reaction,EX_4abut[e]
Exchange/demand reaction,EX_taur[e]
Exchange/demand reaction,EX_phpyr[e]
Exchange/demand reaction,EX_tym[e]
Exchange/demand reaction,EX_2hyoxplac[e]
Exchange/demand reaction,EX_lanost[e]
Exchange/demand reaction,EX_3mox4hoxm[e]
Exchange/demand reaction,EX_glx[e]
Exchange/demand reaction,EX_CE4970[e]
Exchange/demand reaction,EX_CE2026[e]
Exchange/demand reaction,EX_CE4968[e]
Exchange/demand reaction,EX_actyr[e]
Exchange/demand reaction,EX_sucaceto[e]
Exchange/demand reaction,EX_vanillac[e]
Exchange/demand reaction,EX_nacvanala[e]
Exchange/demand reaction,EX_2h3mv[e]
Exchange/demand reaction,EX_2hiv[e]
Exchange/demand reaction,EX_2m3hbu[e]
Exchange/demand reaction,EX_2m3hvac[e]
Exchange/demand reaction,EX_3h3mglt[e]
Exchange/demand reaction,EX_3mglutac[e]
Exchange/demand reaction,EX_3mglutr[e]
Exchange/demand reaction,EX_ppiogly[e]
Exchange/demand reaction,EX_mvlac[e]
Exchange/demand reaction,EX_tiggly[e]
Exchange/demand reaction,EX_3ohglutac[e]
Exchange/demand reaction,EX_glutcon[e]
Exchange/demand reaction,EX_3hivac[e]
Exchange/demand reaction,EX_3hadpac[e]
Exchange/demand reaction,EX_3ohsebac[e]
Exchange/demand reaction,EX_3ohsubac[e]
Exchange/demand reaction,EX_5ohhexa[e]
Exchange/demand reaction,EX_7ohocata[e]
Exchange/demand reaction,EX_ethmalac[e]
Exchange/demand reaction,EX_hexgly[e]
Exchange/demand reaction,EX_methsucc[e]
Exchange/demand reaction,EX_subgly[e]
Exchange/demand reaction,EX_4ohbut[e]
Exchange/demand reaction,EX_thexdd[e]
Exchange/demand reaction,EX_hexdtr[e]
Exchange/demand reaction,EX_hpdece[e]
Exchange/demand reaction,EX_eic21114tr[e]
Exchange/demand reaction,EX_5eipenc[e]
Exchange/demand reaction,EX_CE4969[e]
Exchange/demand reaction,EX_CE1310[e]
Exchange/demand reaction,EX_agm[e]
Exchange/demand reaction,EX_T4hcinnm[e]
Exchange/demand reaction,EX_sucsal[e]
Exchange/demand reaction,EX_CE7081[e]
Exchange/demand reaction,EX_egme[e]
Exchange/demand reaction,EX_12harachd[e]
Exchange/demand reaction,EX_18harachd[e]
Exchange/demand reaction,EX_sql[e]
Exchange/demand reaction,EX_orn_D[e]
Exchange/demand reaction,EX_5g2oxpt[e]
Exchange/demand reaction,EX_andrstndn[e]
Exchange/demand reaction,EX_dhea[e]
Exchange/demand reaction,EX_eandrstrn[e]
Exchange/demand reaction,EX_ahandrostan[e]
Exchange/demand reaction,EX_andrstandn[e]
Exchange/demand reaction,EX_CE2209[e]
Exchange/demand reaction,EX_estrone[e]
Exchange/demand reaction,EX_C05298[e]
Exchange/demand reaction,EX_C05301[e]
Exchange/demand reaction,EX_C05299[e]
Exchange/demand reaction,EX_C05302[e]
Exchange/demand reaction,EX_CE5072[e]
Exchange/demand reaction,EX_11docrtsl[e]
Exchange/demand reaction,EX_11docrtstrn[e]
Exchange/demand reaction,EX_prgnlone[e]
Exchange/demand reaction,EX_CE2211[e]
Exchange/demand reaction,EX_17ahprgstrn[e]
Exchange/demand reaction,EX_17ahprgnlone[e]
Exchange/demand reaction,EX_C03681[e]
Exchange/demand reaction,EX_HC02020[e]
Exchange/demand reaction,EX_prgnlones[e]
Exchange/demand reaction,EX_CE1352[e]
Exchange/demand reaction,EX_xol24oh[e]
Exchange/demand reaction,EX_xol27oh[e]
Exchange/demand reaction,EX_xol25oh[e]
Exchange/demand reaction,EX_dsmsterol[e]
Exchange/demand reaction,EX_chsterols[e]
Exchange/demand reaction,EX_3ityr_L[e]
Exchange/demand reaction,EX_35diotyr[e]
Exchange/demand reaction,EX_13_cis_retn[e]
Exchange/demand reaction,EX_CE1617[e]
Exchange/demand reaction,DM_myelin_hs[c]
Exchange/demand reaction,EX_HC00460[e]
Exchange/demand reaction,EX_34dhoxmand[e]
Exchange/demand reaction,EX_fna5moxam[e]
Exchange/demand reaction,EX_CE5643[e]
Exchange/demand reaction,EX_CE7090[e]
Exchange/demand reaction,EX_CE7085[e]
Exchange/demand reaction,EX_CE7096[e]
Exchange/demand reaction,EX_CE4877[e]
Exchange/demand reaction,EX_CE1447[e]
Exchange/demand reaction,EX_CE2006[e]
Exchange/demand reaction,EX_CE1401[e]
Exchange/demand reaction,EX_glucys[e]
Exchange/demand reaction,EX_n8aspmd[e]
Exchange/demand reaction,EX_CE6205[e]
Exchange/demand reaction,EX_melatn[e]
Exchange/demand reaction,EX_6hoxmelatn[e]
Exchange/demand reaction,EX_trypta[e]
Exchange/demand reaction,EX_C10164[e]
Exchange/demand reaction,EX_CE4890[e]
Exchange/demand reaction,EX_C09642[e]
Exchange/demand reaction,EX_C05769[e]
Exchange/demand reaction,EX_C05767[e]
Exchange/demand reaction,EX_C05770[e]
Exchange/demand reaction,EX_mhista[e]
Exchange/demand reaction,EX_ppbng[e]
Exchange/demand reaction,EX_13dampp[e]
Exchange/demand reaction,EX_mma[e]
Exchange/demand reaction,EX_12ppd_R[e]
Exchange/demand reaction,EX_ametam[e]
Exchange/demand reaction,EX_xylu_L[e]
Exchange/demand reaction,EX_xylu_D[e]
Exchange/demand reaction,EX_CE0737[e]
Exchange/demand reaction,EX_sphings[e]
Exchange/demand reaction,EX_hdd2crn[e]
Exchange/demand reaction,EX_im4ac[e]
Exchange/demand reaction,EX_CE1918[e]
Exchange/demand reaction,EX_mlthf[e]
Exchange/demand reaction,EX_ppp9[e]
Exchange/demand reaction,EX_aact[e]
Exchange/demand reaction,EX_CE2705[e]
Exchange/demand reaction,EX_sphgn[e]
Exchange/demand reaction,EX_N1aspmd[e]
Exchange/demand reaction,EX_1a25dhvitd3[e]
Exchange/demand reaction,EX_prist[e]
Exchange/demand reaction,EX_CE2049[e]
Exchange/demand reaction,EX_CE2047[e]
Exchange/demand reaction,EX_fdp[e]
Exchange/demand reaction,EX_coke[e]
Exchange/demand reaction,EX_5a2opntn[e]
Exchange/demand reaction,EX_arg_D[e]
Exchange/demand reaction,EX_idl_hs[e]
Exchange/demand reaction,EX_ldl_hs[e]
Exchange/demand reaction,EX_hdl_hs[e]
Exchange/demand reaction,EX_HC00005[e]
Exchange/demand reaction,EX_HC00006[e]
Exchange/demand reaction,EX_HC00007[e]
Exchange/demand reaction,EX_HC00008[e]
Exchange/demand reaction,EX_HC00009[e]
Exchange/demand reaction,EX_dopa4sf[e]
Exchange/demand reaction,EX_dopa4glcur[e]
Exchange/demand reaction,EX_dopa3glcur[e]
Exchange/demand reaction,EX_4glu56dihdind[e]
Exchange/demand reaction,EX_5cysdopa[e]
Exchange/demand reaction,EX_CE5025[e]
Exchange/demand reaction,EX_CE2172[e]
Exchange/demand reaction,EX_CE5629[e]
Exchange/demand reaction,ACER12r
Exchange/demand reaction,ACER21g
Exchange/demand reaction,EX_gd3_hs[e]
Exchange/demand reaction,EX_gluside_hs[e]
Exchange/demand reaction,EX_gm3_hs[e]
Exchange/demand reaction,EX_cmpacna[e]
Exchange/demand reaction,EX_gd2_hs[e]
Exchange/demand reaction,EX_gd1a_hs[e]
Exchange/demand reaction,sink_34dhpac[c]
Exchange/demand reaction,EX_34dhpe[e]
Exchange/demand reaction,DM_no2[c]
Exchange/demand reaction,DM_ts3[c]
Exchange/demand reaction,DM_sph1p[n]
Exchange/demand reaction,DM_sphs1p[n]
Exchange/demand reaction,DM_gm1_hs[n]
Exchange/demand reaction,DM_gda1_hs[n]
Exchange/demand reaction,DM_6hddopaqn[c]
Exchange/demand reaction,DM_phsph1p[c]
Exchange/demand reaction,DM_gd3_hs[l]
Exchange/demand reaction,DM_gd3_hs[g]
Exchange/demand reaction,DM_pail35p_hs[n]
Exchange/demand reaction,DM_gd3_hs[m]
Exchange/demand reaction,DM_pcreat[c]
Exchange/demand reaction,DM_k[g]
Exchange/demand reaction,DM_na1[r]
Exchange/demand reaction,DM_na1[x]
Exchange/demand reaction,DM_na1[g]
Exchange/demand reaction,DM_na1[c]
Exchange/demand reaction,DM_thm[m]
Exchange/demand reaction,DM_retn[n]
Exchange/demand reaction,DM_hhxdcal[c]
Exchange/demand reaction,DM_15HPET[n]
Exchange/demand reaction,DM_15HPET[x]
Exchange/demand reaction,DM_15HPET[r]
Exchange/demand reaction,sink_Ser_Gly_Ala_X_Gly[r]
Exchange/demand reaction,sink_xolest2_hs[l]
Exchange/demand reaction,EX_glc_D[e]
Exchange/demand reaction,EX_sbt_D[e]
Exchange/demand reaction,DM_12dhchol[c]
Exchange/demand reaction,DM_3dhcdchol[c]
Exchange/demand reaction,DM_3dhchol[c]
Exchange/demand reaction,DM_3dhdchol[c]
Exchange/demand reaction,DM_3dhlchol[c]
Exchange/demand reaction,DM_7dhcdchol[c]
Exchange/demand reaction,DM_7dhchol[c]
Exchange/demand reaction,DM_ca24g[c]
Exchange/demand reaction,DM_ca3s[c]
Exchange/demand reaction,DM_cdca24g[c]
Exchange/demand reaction,DM_cdca3g[c]
Exchange/demand reaction,DM_coprost[c]
Exchange/demand reaction,DM_dca24g[c]
Exchange/demand reaction,DM_dca3g[c]
Exchange/demand reaction,DM_dca3s[c]
Exchange/demand reaction,DM_gca3s[c]
Exchange/demand reaction,DM_gcdca3s[c]
Exchange/demand reaction,DM_gdca3s[c]
Exchange/demand reaction,DM_gudca3s[c]
Exchange/demand reaction,DM_hca24g[c]
Exchange/demand reaction,DM_hca6g[c]
Exchange/demand reaction,DM_hdca24g[c]
Exchange/demand reaction,DM_hdca6g[c]
Exchange/demand reaction,DM_hyochol[c]
Exchange/demand reaction,DM_icdchol[c]
Exchange/demand reaction,DM_isochol[c]
Exchange/demand reaction,DM_lca24g[c]
Exchange/demand reaction,DM_lca3g[c]
Exchange/demand reaction,DM_lca3s[c]
Exchange/demand reaction,DM_tca3s[c]
Exchange/demand reaction,DM_tcdca3s[c]
Exchange/demand reaction,DM_tdca3s[c]
Exchange/demand reaction,DM_thyochol[c]
Exchange/demand reaction,DM_tudca3s[c]
Exchange/demand reaction,DM_uchol[c]
Exchange/demand reaction,DM_udca3s[c]
Exchange/demand reaction,EX_12dhchol[e]
Exchange/demand reaction,EX_3dhcdchol[e]
Exchange/demand reaction,EX_3dhchol[e]
Exchange/demand reaction,EX_3dhdchol[e]
Exchange/demand reaction,EX_3dhlchol[e]
Exchange/demand reaction,EX_7dhcdchol[e]
Exchange/demand reaction,EX_7dhchol[e]
Exchange/demand reaction,EX_ca24g[e]
Exchange/demand reaction,EX_ca3s[e]
Exchange/demand reaction,EX_cdca24g[e]
Exchange/demand reaction,EX_cdca3g[e]
Exchange/demand reaction,EX_coprost[e]
Exchange/demand reaction,EX_dca24g[e]
Exchange/demand reaction,EX_dca3g[e]
Exchange/demand reaction,EX_dca3s[e]
Exchange/demand reaction,EX_gca3s[e]
Exchange/demand reaction,EX_gcdca3s[e]
Exchange/demand reaction,EX_gdca3s[e]
Exchange/demand reaction,EX_gudca3s[e]
Exchange/demand reaction,EX_hca24g[e]
Exchange/demand reaction,EX_hca6g[e]
Exchange/demand reaction,EX_hdca24g[e]
Exchange/demand reaction,EX_hdca6g[e]
Exchange/demand reaction,EX_hyochol[e]
Exchange/demand reaction,EX_icdchol[e]
Exchange/demand reaction,EX_isochol[e]
Exchange/demand reaction,EX_lca24g[e]
Exchange/demand reaction,EX_lca3g[e]
Exchange/demand reaction,EX_lca3s[e]
Exchange/demand reaction,EX_tca3s[e]
Exchange/demand reaction,EX_tcdca3s[e]
Exchange/demand reaction,EX_tdca3s[e]
Exchange/demand reaction,EX_thyochol[e]
Exchange/demand reaction,EX_tudca3s[e]
Exchange/demand reaction,EX_uchol[e]
Exchange/demand reaction,EX_udca3s[e]
Exchange/demand reaction,EX_12htacr[e]
Exchange/demand reaction,EX_1331tacr[e]
Exchange/demand reaction,EX_13dmt[e]
Exchange/demand reaction,EX_14hmdz[e]
Exchange/demand reaction,EX_1513tacr[e]
Exchange/demand reaction,EX_1531tacr[e]
Exchange/demand reaction,EX_15dmt[e]
Exchange/demand reaction,EX_1hibup_S[e]
Exchange/demand reaction,EX_1hibupglu_S[e]
Exchange/demand reaction,EX_1hmdgluc[e]
Exchange/demand reaction,EX_1ohmdz[e]
Exchange/demand reaction,EX_2hatvacid[e]
Exchange/demand reaction,EX_2hatvacidgluc[e]
Exchange/demand reaction,EX_2hatvlac[e]
